FileName,Cultivar,Tree,Pit,View,PixelsToCm,Approved,Area,Centroid_x,Centroid_y,Circularity,ConvexArea,Eccentricity,EquivDiameter,MajorAxisLength,MaxFeretDiameter,MinorAxisLength,MinFeretDiameter,OrthogonalDiameter,MaxFeretDiameterControl,Perimeter,Solidity,FormFactor,Roundness,Compactness,AspectRatio
PIMA_a_001_VD.png,PIMA,a,001,VD,820.149491009005,1,756060,558.173020659736,863.862038727085,0.827291309794417,767472,0.820624967140917,981.144989383561,1301.15385797882,1398.23102526013,743.566641138163,761.835718787445,763.344234885712,1398.16343822888,3385.72,0.985130402151479,0.828827301020204,0.568602903531954,0.754057626134736,1.83171754152237
PIMA_a_001_VL.png,PIMA,a,001,VL,824.952862408711,1,733459,589.967966852953,838.900092575045,0.802551510134818,743670,0.834496137714388,966.368978828433,1306.86652988969,1423.75981120412,720.101478911097,743.371690736361,745.02093439142,1423.45530312687,3385.74,0.98626944746998,0.804041559381136,0.546793684541649,0.739454991559087,1.91103329514779
PIMA_a_002_VD.png,PIMA,a,002,VD,825.104555622824,1,594226,574.473599270311,784.339766351523,0.88283278079097,601957,0.745733952675691,869.822994470597,1067.32025164011,1151.52941777447,711.095556970924,731.441505427515,734.061040620076,1151.37700168103,2905.174,0.987156889943966,0.884743165904304,0.664159316273971,0.814959702239301,1.56871071212517
PIMA_a_002_VL.png,PIMA,a,002,VL,823.601745998097,1,594158,525.449599264842,678.555808387668,0.880895293847112,601699,0.74625071802772,869.773224134173,1067.58097412436,1147.19004528456,710.651267985104,723.910407690234,728.652520520259,1147.0954624616,2908.204,0.987467155504663,0.882799499285128,0.663758990902425,0.814714054685707,1.57439933710168
PIMA_a_003_VD.png,PIMA,a,003,VD,823.465188421721,1,660340,598.716549050489,680.478648877851,0.952197920972618,665739,0.616634129738476,916.935658031913,1033.87577052709,1064.86524969125,813.918560839331,811,816.253427211065,1064.80655520146,2948.918,0.991890215234499,0.954227825790612,0.786576575827662,0.886891524273213,1.30457675789445
PIMA_a_003_VL.png,PIMA,a,003,VL,824.924759509006,1,605494,487.408008997612,653.362216636333,0.932219537359961,610906,0.696064419451597,878.031266470547,1036.63005481522,1059.88537116049,744.278956304618,742,757.713920631656,1059.72449249793,2853.796,0.991141026606385,0.934273129172451,0.71741816763078,0.847005411807256,1.39879358462483
PIMA_a_004_VD.png,PIMA,a,004,VD,824.449710011593,1,568742,536.210577027897,755.993823209821,0.887176274813987,574760,0.759675751234742,850.966982409873,1057.48868979806,1107.79646144948,687.687060186402,686.85721632796,687.306535668476,1107.75899906072,2835.154,0.989529542765676,0.889143498227952,0.647550968427101,0.804705516587964,1.61179387065196
PIMA_a_004_VL.png,PIMA,a,004,VL,822.131057005751,1,553225,555.774469700393,658.240956211306,0.884613216162337,558450,0.776586696277994,839.278229871424,1058.94435917119,1100.6911465075,667.145958505718,670.860722360533,671.108011097743,1100.54713665522,2800.22,0.990643746082908,0.886599241065365,0.628153282440181,0.792561216840807,1.64011027778834
PIMA_a_005_VD.png,PIMA,a,005,VD,824.463741599434,1,653420,525.451920663585,724.418271555814,0.85774875934409,669014,0.746510514404779,912.118513857081,1120.20241373925,1200.73519145563,745.353133218917,747.980206883211,753.432825958525,1200.45074867735,3090.864,0.976691070739925,0.859493298516874,0.662993901649962,0.814244374650486,1.59368579398973
PIMA_a_005_VL.png,PIMA,a,005,VL,825.525326542148,1,616098,594.790358027457,841.928949615159,0.824585638778441,630382,0.785533363025029,885.686364935265,1130.14155690475,1247.17681184345,699.353415839747,705.501370121562,710.827587251134,1247.16037461106,3061.022,0.977340723561269,0.826279087263425,0.614177960505088,0.783695068572649,1.75454193704897
