FileName,Project,Shape,Code,PixelsToCm,Approved,Area,Centroid_x,Centroid_y,Circularity,ConvexArea,Eccentricity,EquivDiameter,MajorAxisLength,MaxFeretDiameter,MinorAxisLength,MinFeretDiameter,OrthogonalDiameter,MaxFeretDiameterControl,Perimeter,Solidity,FormFactor,Roundness,Compactness,AspectRatio
VAL_JEL_1.png,VAL,JEL,1,530,1,309784,694.691533455569,895.013038116881,0.351295992497618,402547,0.906554832633966,628.036017379766,1016.15870334061,1102.4645119005,428.908461804046,490.99526874314,494.863221172579,1102.43593918196,3325.736,0.769559827796506,0.35195999599651,0.381984745143537,0.618049144602221,2.22781662635628
VAL_JEL_10.png,VAL,JEL,10,530,1,445766,610.932897529197,1059.45923421706,0.167000106126228,642770,0.937561677417617,753.370359715867,1363.6385308296,1568.79699132807,474.299476949238,567.35906383104,568.035206741238,1568.76543817105,5788.478,0.693507786611074,0.167181427944413,0.305223895459604,0.552470719097043,2.76179534773575
VAL_JEL_2.png,VAL,JEL,2,530,1,552780,680.128347624733,1300.79989869387,0.144837130253183,811069,0.948367158854191,838.940615025106,1597.18082007687,1753.60001140511,506.585200631026,634.857034609696,661.552319695511,1753.51361557303,6922.199,0.681544973362316,0.144968626766953,0.275901630866285,0.525263391896185,2.65073518631486
VAL_JEL_3.png,VAL,JEL,3,530,1,544860,832.806537459164,1242.03532650589,0.120567589159471,815409,0.945124478882214,832.908937606267,1567.50465838391,1793.25514079843,512.120155384533,623.104490178392,638.56517377766,1793.19519294471,7532.706,0.668204545203695,0.120668178041665,0.282343220668394,0.53135978457952,2.80825703379624
VAL_JEL_4.png,VAL,JEL,4,530,1,359871,645.604188723181,956.182815508891,0.285685911849531,490813,0.925743625117904,676.906188628371,1164.17217606277,1301.03958433247,440.233737252587,532.969361516462,533.648731744812,1301,3975.492,0.7332140754218,0.286137611103634,0.338082381241868,0.581448519855255,2.43800745122846
VAL_JEL_5.png,VAL,JEL,5,530,1,603187,691.793040964079,1178.21976435169,0.103568803194906,923189,0.946762304929482,876.356971370781,1668.25183667616,1854.33680867312,537.066047837316,645.547161092701,685.97028093446,1854.21735511239,8551.788,0.653373252930873,0.103644911432282,0.275955381795181,0.525314555095498,2.70323199154788
VAL_JEL_6.png,VAL,JEL,6,530,1,402172,639.574505435485,1067.01864873736,0.255818175093134,551030,0.919645327773106,715.58458213214,1211.66833288987,1287.20472342204,475.882596761814,568.75431814428,571.094175132388,1287.0994522569,4441.586,0.729854998820391,0.256180190249453,0.348782297493248,0.590577935156104,2.2539272496058
VAL_JEL_7.png,VAL,JEL,7,530,1,645105,693.262076716194,1199.56125746971,0.0906117032835114,1012129,0.95309314404977,906.296417573399,1791.01271028022,2102.29136895912,542.098627593415,660.978236950564,664.283230189799,2102.27495822977,9455.483,0.637374287269706,0.090671924924537,0.256060854701302,0.506024559385513,3.16475152979317
VAL_JEL_8.png,VAL,JEL,8,530,1,457079,688.923352418291,1169.31800848431,0.196454996062882,641065,0.933149037275784,762.870275910658,1351.13999957989,1487.37755798587,485.720969155871,577.612171962188,595.1242191374,1487.33486478331,5404.016,0.712999461833043,0.196683478350802,0.318787060281314,0.564612309714652,2.49927243784792
VAL_JEL_9.png,VAL,JEL,9,530,1,710573,881.8255267228,1487.86622064165,0.0784851086286363,1102943,0.9582807036381,951.172772434692,1926.23293010212,2184.42875827984,550.572813658638,684.389507383512,709.406653318386,2184.34658422147,10663.204,0.644251788170377,0.0785313619991328,0.243837902449025,0.493799455699402,3.07923353701541
