FileName,Project,Shape,Code,PixelsToCm,Approved,Area,Centroid_x,Centroid_y,Circularity,ConvexArea,Eccentricity,EquivDiameter,MajorAxisLength,MaxFeretDiameter,MinorAxisLength,MinFeretDiameter,OrthogonalDiameter,MaxFeretDiameterControl,Perimeter,Solidity,FormFactor,Roundness,Compactness,AspectRatio
VAL_SMC_1.png,VAL,SMC,1,530,1,325614,621.78767497712,629.066296289472,1,326172,0.0104199405543403,643.882459086591,643.903061909477,646.010061841145,643.868105021231,641,645.276686992366,645.329373266086,2016.956,0.9982892461646,1.00581957875378,0.999936007469157,0.999968003222682,1.00113652773076
VAL_SMC_10.png,VAL,SMC,10,530,1,521276,779.13360100983,829.906166790721,1,522025,0.0110068745929442,814.683507210847,814.710589760716,816.766796582721,814.6612366471,812,815.994511545559,816.201568241571,2553.528,0.998565202815957,1.00460733646392,0.999933517251227,0.999966758073101,1.00094643410738
VAL_SMC_2.png,VAL,SMC,2,530,1,337030,599.664902234222,735.683452511646,1,337588,0.0180541363566268,655.07245687946,655.129133063942,657.222184652953,655.022354088989,652,656.265259589197,656.566828281783,2052.146,0.998347097645651,1.00568486325355,0.999826984543803,0.999913488529784,1.00145813762008
VAL_SMC_3.png,VAL,SMC,3,530,1,384917,645.757342492018,617.284827638166,1,385568,0.022613732302057,700.065386832419,700.157522504677,702.237139433682,699.978476023493,697,701.142039317134,701.5411605886,2193.674,0.998311581874014,1.00515440558007,0.99973683176399,0.999868407223665,1.00156188055364
VAL_SMC_4.png,VAL,SMC,4,530,1,434752,512.851779865303,565.5892485831,1,435441,0.0238696878874326,744.004999010559,744.113382316373,746.319636616912,743.901368348285,741,745.206134591804,745.633958454147,2331.886,0.998417696082822,1.00470097218594,0.999708712636694,0.999854345710761,1.00149422015389
VAL_SMC_5.png,VAL,SMC,5,530,1,753666,673.196514105718,708.602623708646,1,754563,0.0131612066346314,979.590401505839,979.634962203573,981.693434835947,979.550113638106,976,981.131491145687,981.185507434756,3070.896,0.998811232461703,1.00428868584651,0.9999090279829,0.999954512956914,1.0005727506408
VAL_SMC_6.png,VAL,SMC,6,530,1,458473,647.71031227575,636.773037888818,1,459169,0.0164623528303276,764.032691573708,764.087279492139,766.56767476851,763.983735188344,761,765.349117341934,765.87009342316,2394.516,0.998484218229018,1.00481970233692,0.999857121117021,0.999928558006531,1.00159215892325
VAL_SMC_7.png,VAL,SMC,7,530,1,706799,695.743255154577,688.57550732245,1,707722,0.00880377973401791,948.643472005826,948.663649213813,950.69237926892,948.626884684025,946,950.004736830296,950.004736830296,2974.73,0.998695815588607,1.00371562232439,0.999957462281963,0.999978730914794,1.0007238305368
VAL_SMC_8.png,VAL,SMC,8,530,1,580999,821.220659588054,795.955870836267,1,581768,0.0138897600530136,860.087729392522,860.131613458993,862.241845423893,860.048638824266,857,861.310663377356,861.553248499476,2695.486,0.998678167241925,1.00487279318858,0.999897962250667,0.999948979823804,1.00108112216199
VAL_SMC_9.png,VAL,SMC,9,530,1,581018,666.825791972022,716.861835605782,1,581801,0.0154411967384074,860.101792698361,860.155470589616,862.241845423893,860.052920802644,857,861.310663377356,861.553248499476,2695.668,0.998654179006224,1.00476996553158,0.999875194152199,0.999937595128915,1.00108112216199
