FileName,Project,Shape,Code,PixelsToCm,Approved,Area,Centroid_x,Centroid_y,Circularity,ConvexArea,Eccentricity,EquivDiameter,MajorAxisLength,MaxFeretDiameter,MinorAxisLength,MinFeretDiameter,OrthogonalDiameter,MaxFeretDiameterControl,Perimeter,Solidity,FormFactor,Roundness,Compactness,AspectRatio
VAL_ELL_1.png,VAL,ELL,1,500,1,770323,706.657783812764,911.041203495157,0.883713215505082,771376,0.831449257049747,990.356352945254,1328.65258924337,1326.14101814249,738.200302794617,735,739.358312753231,1326.09992082045,3306.536,0.998634906971438,0.88539327332601,0.555597275326742,0.745383978447848,1.79363780087112
VAL_ELL_10.png,VAL,ELL,10,500,1,1082950,754.520818135648,1237.71099035043,0.72966098927167,1084545,0.923039323059323,1174.24646687607,1893.19846132804,1889.60974806969,728.324073150222,726,728.850135840998,1889.58461043691,4315.514,0.998529337187484,0.730723728019762,0.384703589563453,0.620244781971967,2.59259023926685
VAL_ELL_2.png,VAL,ELL,2,500,1,760212,674.686182275471,914.174834125218,0.865066524081336,761344,0.848212391491442,983.835342312019,1351.84323843882,1349.68514846982,716.012214843764,714,716.330440298182,1349.65365927708,3319.99,0.998513155682582,0.866704464234012,0.529653898228903,0.727773246436624,1.88416556457938
VAL_ELL_3.png,VAL,ELL,3,500,1,782850,632.712975665836,1046.21847097145,0.847328808590026,784009,0.862667483633415,998.37647087455,1403.84288137871,1401.04104151163,710.023723306243,707,711.298336310993,1401.00285510059,3404.22,0.998521700643743,0.848893449100484,0.505768370689405,0.711173938421119,1.96969537251816
VAL_ELL_4.png,VAL,ELL,4,500,1,929594,745.623056947442,1089.48521612661,0.829334898362659,930887,0.875061043087832,1087.93191025383,1563.77572807148,1560.93433558238,756.887113816292,754,758.032515769352,1560.90006086232,3749.928,0.998611002194681,0.83072507108384,0.484010178291807,0.695708400331494,2.05919179337332
VAL_ELL_5.png,VAL,ELL,5,500,1,884044,711.552875196257,1067.4814115587,0.811764730690648,885332,0.885799579558969,1060.94287314909,1557.40767878695,1554.74113600946,722.74306035184,720,723.298607196191,1554.71058399948,3696.22,0.998545178531895,0.813145231795471,0.46406559979151,0.681223604840224,2.14951490372184
VAL_ELL_6.png,VAL,ELL,6,500,1,863836,541.541911890683,901.931074879954,0.79421765761389,865170,0.895201664080465,1048.7469453428,1570.9755811785,1567.70469157938,700.122995647124,698,700.717928721307,1567.67503010031,3693.87,0.998458106499301,0.79556917750417,0.445658863772022,0.667576859823662,2.23728354494965
VAL_ELL_7.png,VAL,ELL,7,500,1,954315,563.388735375636,1134.11443076971,0.77719896060913,955760,0.903450864437134,1102.30286043988,1683.56304188002,1680.60257050857,721.729427665183,720,722.387998969196,1680.57609170189,3924.978,0.998488114170922,0.778443614567902,0.428689752318933,0.654744035726125,2.32645416716042
VAL_ELL_8.png,VAL,ELL,8,500,1,904936,683.457810276086,1070.22271077734,0.761158130282803,906359,0.910745204282807,1073.40593470246,1670.34681730825,1666.75013124343,689.801005659971,688,690.965909799285,1666.7204324661,3862.098,0.998429981938724,0.762396949888828,0.41296636065022,0.642624587648356,2.41220313130585
VAL_ELL_9.png,VAL,ELL,9,500,1,1118186,786.484608106344,1247.38706708902,0.745287012940436,1119695,0.917237129858427,1193.19681258761,1890.5377908095,1886.74455080702,753.07988954854,750,754.648528426514,1886.71672489539,4338.962,0.998652311566989,0.746366642509392,0.39833956330322,0.631141476456127,2.50016329421724
